text,source
"Netanyahu says military aims in Iran 'beyond halfway' complete, as Kuwaiti oil tanker hit in Dubai",BBC
Inside the cockpit of RAF tanker during defensive mission against Iranian drones,BBC
Scott Mills investigated in 2016 over sexual offence allegations against teenage boy,BBC
Palestinians convicted of deadly attacks face death penalty under new Israeli law,BBC
'Something wasn't right': Wrong sperm given to UK families by IVF clinics in northern Cyprus,BBC
Eurovision Song Contest launches first-ever Asia edition,BBC
"Shock, sadness and relief in town at centre of Australia's seven-month manhunt",BBC
"Huge fires at Russian oil facilities following Ukraine strikes, satellite images show",BBC
Congressman writes to King Charles urging him to meet Epstein victims during US visit,BBC
Gazan mother reunited with evacuated daughter after two years,BBC
"Sexual violence part of 'everyday life' in parts of Sudan, charity says",BBC
'A succulent Chinese meal' - iconic Australian quote immortalised in national film archive,BBC
"Social media firms must better enforce Australia under-16 ban, watchdog says",BBC
"What was the 1970s oil crisis, and are we heading for something worse?",BBC
Long queues in Myanmar as Iran war fuel crisis deepens,BBC
How Pakistan won over Trump to become an unlikely mediator in the Iran war,BBC
How the US could try to seize Iran's Kharg Island,BBC
Who are the Artemis II astronauts heading to the Moon?,BBC
Behind the scenes: Astronaut training for Nasa’s moon mission,BBC
"After sex abuse claims, activists and lawmakers rethink Cesar Chavez Day",BBC
Are domes and spheres the future of entertainment?,BBC
Will crash shake golf from its dependency on Woods?,BBC
'No Kings' protesters gather across the US as Bruce Springsteen joins rally,BBC
Inside Nasa's moon spacesuit lab ahead of Artemis launch,BBC
How Australia’s seven-month-long manhunt came to an end,BBC
Kid Rock sparks US Army investigation after helicopter flyby at his mansion,BBC
Céline Dion announces comeback shows: 'I'm so ready for this',BBC
"Michigan synagogue attack was Hezbollah-inspired act of terrorism, FBI says",BBC
Mexico demands answers after another migrant dies in ICE custody,BBC
Korean Air takes emergency action as fuel prices soar,BBC
Barbie Dream Fest in Florida to issue refunds after fan complaints,BBC
"Most Syrian refugees in Germany expected to return home in three years, Merz says",BBC
Scott Mills questioned by police in 2018 over sexual offence allegations against teenage boy,BBC
New bin rules begin in England but not all councils are ready,BBC
Why the benefit used by over 8 million people may not be fit for the future,BBC
Starmer gives doctors 48 hours to cancel strike or lose new jobs package,BBC
Beatrice and Eugenie won't be at royal Easter service,BBC
"Ghana sack manager Addo, 72 days before World Cup",BBC
Is Verstappen's threat to quit a lever to alter rules? - F1 Q&A,BBC
Ranking the 10 most exciting wingers in the world,BBC
Why innovative Canadian league is trialling daylight offside rule,BBC
De Zerbi in advanced talks to become Spurs manager,BBC
How Scotland found their base camp for 'travelling' World Cup,BBC
Sign up to News Briefing,BBC
Nebius unveils plans to build one of Europe's largest AI factories as region scrambles for compute,CNBC
"U.S. gasoline hits $4 per gallon, highest since 2022, as Iran war drives up fuel prices",CNBC
CNBC Daily Open: Hegseth on the defensive,CNBC
These three niche commodities are surging,CNBC
South Korea proposes extra $17 billion budget to cushion energy costs fueled by Iran war,CNBC
European stocks head for worst month since 2020 as Iran war drags on,CNBC
Indian mobile giant Airtel raises $1 billion for data centers to meet AI demand,CNBC
Oil sees choppy trading as traders parse Trump comments on Iran war,CNBC
"China's factory activity returns to growth, expanding at its sharpest pace in a year",CNBC
Pete Hegseth's broker attempted to make defense investments before Iran war: Financial Times,CNBC
Trump is doubling down on rhetoric to end the Iran war,CNBC
Asia-Pacific markets mostly fall amid crude oil prices volatility,CNBC
"Market 'inflection point' is days away, Evercore ISI's Julian Emanuel says",CNBC
China's AI race enters a new phase,CNBC
Tuesday's stock stories: What’s likely to move the market in the next session,CNBC
Jim Cramer: This sell-off is creating buying opportunities,CNBC
Stock futures rise as oil prices ease  after report says Trump looking to end Iran war,CNBC
Nike has a lot to prove to keep investors in its corner. Here's where it needs to start,CNBC
Morgan Stanley says to watch rates as stock correction is almost over,CNBC
"Micron stock sinks 10%, further cratering in post-earnings sell-off",CNBC
Army investigates helicopter flyby at Kid Rock's Nashville home,CNBC
These are Barclays’ top defensive stocks. They also pay solid dividends,CNBC
Delaware judge reassigns Elon Musk cases after accusation of bias,CNBC
"Top insiders sold shares of Nvidia, Dell Technologies and Five Below last week",CNBC
A retirement saver protection rule has died — for the second time,CNBC
"The market's early rally fizzles, and why TJX's modest dividend still matters",CNBC
Palo Alto shares pop as CEO Nikesh Arora buys stock for first time in years,CNBC
China suppliers warn of higher U.S. prices due to Strait of Hormuz closure,CNBC
JetBlue Airways raises checked bag fees at least $4 as fuel prices soar,CNBC
"Semiconductor stocks are vulnerable to a big pullback, says Katie Stockton",CNBC
More than 7 million student loan borrowers face deadline to leave SAVE plan,CNBC
NFL asks prediction market operators to refrain from 'objectionable bets',CNBC
"Watch the S&P 500 after other indexes fall into correction, says Jay Woods",CNBC
Private credit fears have ripped through Wall Street in 2026. Why they may be overblown,CNBC
Why our cybersecurity stocks are rebounding after getting hammered last week,CNBC
Israel says four soldiers killed as army pushes deeper into south Lebanon,Al Jazeera
Ghana Football Association ⁠fires coach Otto Addo 72 days before World Cup,Al Jazeera
Drone attack sparks fire on Kuwaiti tanker in UAE amid Iran’s Gulf attacks,Al Jazeera
IPL: 15‑year‑old Sooryavanshi tears apart Chennai with 15‑ball fifty,Al Jazeera
NBA: LeBron James’ triple-double powers Lakers to 120-101 win over Wizards,Al Jazeera
Pentagon denies that Hegseth’s broker sought investment before Iran war,Al Jazeera
"At least 70 killed, 30 wounded in Haiti gang attack, rights group says",Al Jazeera
Four Israeli soldiers killed in Lebanon; huge explosions in Iran’s Isfahan,Al Jazeera
US says Trump ‘interested’ in asking Arab countries to pay for war on Iran,Al Jazeera
‘Dangerous escalation’: World reacts to Israel passing death penalty law,Al Jazeera
Israeli Knesset approves death penalty for Palestinians,Al Jazeera
The war in Iran: Key takeaways from Al Jazeera’s interview with Marco Rubio,Al Jazeera
"‘We have to destroy Iran’s ability to launch missiles’, Rubio says",Al Jazeera
Israel’s parliament passes death penalty bill targeting Palestinians,Al Jazeera
"Rubio denies US actions punitive, blames Cuba for economic failures",Al Jazeera
French police make two more arrests over foiled attack on Bank of America,Al Jazeera
US airport lines shorten as TSA workers get paid,Al Jazeera
Two more UN peacekeepers killed in explosion in southern Lebanon: UNIFIL,Al Jazeera
